"respID";"taskID";"setID";"prodID1";"prodID2";"prodID3";"choice";"age";"gender";"region"
3986;1;415;30;94;99;3;41;"female";"Oslo"
3986;2;463;114;12;24;1;41;"female";"Oslo"
3986;3;179;101;135;6;3;41;"female";"Oslo"
3986;4;526;1;93;117;1;41;"female";"Oslo"
3986;5;195;4;135;131;1;41;"female";"Oslo"
3986;6;938;122;1;138;3;41;"female";"Oslo"
3986;7;818;24;31;82;1;41;"female";"Oslo"
3986;8;118;136;82;97;1;41;"female";"Oslo"
3986;9;299;70;29;31;2;41;"female";"Oslo"
3986;10;229;71;45;101;2;41;"female";"Oslo"
3986;11;244;40;12;54;1;41;"female";"Oslo"
3986;12;14;47;112;24;3;41;"female";"Oslo"
30925;1;374;12;115;61;2;22;"male";"Rogaland"
30925;2;665;8;93;123;2;22;"male";"Rogaland"
30925;3;602;83;5;120;3;22;"male";"Rogaland"
30925;4;603;95;95;37;1;22;"male";"Rogaland"
30925;5;768;10;51;36;2;22;"male";"Rogaland"
30925;6;709;140;24;31;3;22;"male";"Rogaland"
30925;7;91;54;131;61;3;22;"male";"Rogaland"
30925;8;953;115;91;30;1;22;"male";"Rogaland"
30925;9;348;79;56;125;1;22;"male";"Rogaland"
30925;10;649;86;10;51;2;22;"male";"Rogaland"
30925;11;989;45;47;19;2;22;"male";"Rogaland"
30925;12;355;90;77;41;1;22;"male";"Rogaland"
30710;1;840;23;32;86;1;28;"female";"Oslo"
30710;2;26;29;114;74;2;28;"female";"Oslo"
30710;3;519;21;28;22;1;28;"female";"Oslo"
30710;4;426;65;67;50;1;28;"female";"Oslo"
30710;5;649;86;10;51;3;28;"female";"Oslo"
30710;6;766;81;38;30;3;28;"female";"Oslo"
30710;7;211;30;135;112;1;28;"female";"Oslo"
30710;8;932;45;12;51;1;28;"female";"Oslo"
30710;9;590;28;96;109;2;28;"female";"Oslo"
30710;10;593;1;77;27;1;28;"female";"Oslo"
30710;11;555;69;38;110;3;28;"female";"Oslo"
30710;12;871;39;76;49;2;28;"female";"Oslo"
38529;1;373;47;62;121;1;30;"male";"Trøndelag"
38529;2;844;10;52;17;3;30;"male";"Trøndelag"
